Prompt,Image Link/Image Name 
"Woman, with long hair, wearing a black leather jacket and a black leather miniskirt and a black top, showing midriff, taking a selfie with a smart phone, carrying a black shoulder-bag with a silver chain, standing in front of a grey wall",003 768
"Woman, with long hair, wearing a (letter necklace with the letters: ""SAROS""+++) and a pink top, showing cleavage of large breasts, sitting in the front seat of a car, blurred outdoor background outside the car",005 768
"woman, old polaroid photo, sad mood, b&w",Polaroid prompt 002 768
"Full-body picture of fit and sexy woman, (old polaroid photo++), medieval, sad mood, long wavy hair, wearing a tight black sports bra and short tight gym shorts, standing in a gym, showing cleavage of large breasts, Soft, diffused lighting highlights the texture of her hair, with the plain, (out-of-focus background) emphasizing her. The scene is framed with subtle film grain, evoking the visual style of a classic film noir",Polaroid prompt 002 768
"Fit and slim woman, with flowing wavy hair, wearing white underwear from Victoria's Secret and white angel wings and a lot of pearl jewelry, pink background, showing cleavage of large breasts",007 768
"Fit and slim+ woman, as Medusa from Marvel Inc., in a full-body fantasy digital photography, with flowing red wavy hair, wearing a purple tight body outfit and knee-high purple leather boots, showing midriff and cleavage of large breasts, standing on a mountain top, the background is a stunning view of a sunset, golden hour",Medusa 768
"Woman, with long wavy hair, wearing a shiny violet bikini, showing cleavage, kneeling in water, background is the ocean with sunset in the horizon, golden hour",001 768
"woman, wearing a white bikini and a white open shirt and a (white miniskirt+++), showing cleavage of large breasts, sitting on a boat, background is the ocean and trees and a sky-blue sky",White boat 768
"full-body picture of woman, long wavy hair, wearing a black glittery bra and a black leather jacket and a black leather thong, (holding open the leather jacket++), showing cleavage of large breasts, background is a grey wall",002 prompt 768
"portrait of woman, long wavy hair, wearing a (sexy light-blue dress), showing cleavage of large breasts, background is a moon-lit night sky",008 prompt 768
"Upper-body picture of fit woman, with hair in a high ponytail, looking at viewer, carrying a Katana sword behind her back, wearing Japanese clothes with a red cape and a black top and black gloves and black pants with a shiny belt-buckle, showing midriff and cleavage of large breasts, standing confidently, background is a city skyline
",Katana_prompt_768
"A full-body photo of a fit woman sitting on top of white fluffy clouds wearing sexy red lingerie and red knee-high boots, showing cleavage of large breasts, long wavy hair, the background is a baby-blue sky with white cloud formations, shot by Jimmy Marble, muted earthy colors, soft tones",Clouds_001_768_2
"woman, wearing a black Prada-style unbuttoned shirt, showing cleavage of large breasts, modern hair, fashion editorial photography, front shot, upper body, professional female model, avant-garde composition with tilted head pose, staring to camera, profound gaze, elongated body stance, background is a modern desert city, black shot with Hasselblad x2d 100c, xcd 90mm f/2.5 lens, cinematic sepia color grading with golden hour warmth, dramatic black silhouette against burnt umber to honey amber gradient backdrop, professional main Fresnel light at 60 degree angle with silk diffusion, rim light with cto gel at 75 degree angle, haze machine for ethereal atmosphere, feathered shadows, contrast curve manipulation, selective dodge and burn, grain texture overlay, color temperature adjustment at 5500k to 3200k gradient, ultra sharp details, raw format, inspired by Paolo Roversi lighting technique, hyper realistic, 16K, rich detai",Desert_768
"full-body picture of woman, long wavy hair, wearing a (sexy pink strapless bra and a pink miniskirt), kneeling on a grey sofa, background is a grey wall, showing cleavage of large breasts, horny and begging look, glossy lips, heavy makeup, eyeshadow, perfect eyes, extremely intricate details, epic, expressive and detailed face, detailed gorgeous face, beautiful face, expressive facial features, cosmetic features, matte skin, realistic detailed skin",089_768
" woman sitting at a table with a glass of rosé wine in front of her, wearing a sexy sleeveless pink dress, showing cleavage of large breasts, she is surrounded by a group of people sitting on chairs and tables, background is a restaurant illuminated by lights and a wall",Rose_prompt